pc,next_pc,instr_type,rs1,rs2,reg_rs1,reg_rs2,taken,pred_all,pred_json
124,64,bge,21,9,1,3,0,11100000,00000000
140,196,blt,24,0,2,0,0,11000000,00000000
164,196,bne,27,0,0,0,0,10000000,00000000
124,64,bge,21,9,2,3,0,00000000,00000000
140,196,blt,24,0,-1,0,1,00000000,00000000
124,64,bge,21,9,3,3,1,00000001,00000000
68,204,bge,29,12,3,5,0,00000011,00000000
124,64,bge,21,9,0,3,0,00000110,00000001
140,196,blt,24,0,1,0,0,00001100,00000001
164,196,bne,27,0,1,0,1,00011000,00000000
124,64,bge,21,9,1,3,0,00110001,00000010
140,196,blt,24,0,2,0,0,01100010,00000010
164,196,bne,27,0,1,0,1,11000100,00000001
124,64,bge,21,9,2,3,0,10001001,00000100
140,196,blt,24,0,-1,0,1,00010010,00000100
124,64,bge,21,9,3,3,1,00100101,00001000
68,204,bge,29,12,4,5,0,01001011,00000000
124,64,bge,21,9,0,3,0,10010110,00010001
140,196,blt,24,0,1,0,0,00101100,00001001
164,196,bne,27,0,1,0,1,01011000,00000011
124,64,bge,21,9,1,3,0,10110001,00100010
140,196,blt,24,0,2,0,0,01100010,00010010
164,196,bne,27,0,1,0,1,11000100,00000111
124,64,bge,21,9,2,3,0,10001001,01000100
140,196,blt,24,0,-1,0,1,00010010,00100100
124,64,bge,21,9,3,3,1,00100101,10001000
68,204,bge,29,12,5,5,1,01001011,00000000
